City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,alamogordo,32.8995,-105.9603,10.01,56,0,3.6,US,1675177689
178,victoria,22.2855,114.1577,19.1,71,100,4.47,HK,1675177513
179,georgetown,5.4112,100.3354,28.96,65,20,1.54,MY,1675177623
180,aykhal,66.0,111.5,-36.47,100,42,2.27,RU,1675177692
181,yola,9.2,12.4833,39.42,7,100,2.68,NG,1675177692
182,turayf,31.6725,38.6637,7.43,73,92,8.09,SA,1675177693
183,inirida,3.8653,-67.9239,27.16,56,99,0.79,CO,1675177694
184,santa maria da vitoria,-13.3947,-44.1886,29.73,51,0,2.14,BR,1675177695
185,ilulissat,69.2167,-51.1,-10.99,85,75,10.29,GL,1675177695
186,lavrentiya,65.5833,-171.0,-3.83,97,100,1.24,RU,1675177696
187,renukut,24.2,83.0333,17.65,55,0,2.89,IN,1675177696
188,fairbanks,64.8378,-147.7164,-7.02,83,100,2.57,US,1675177564
189,baruun-urt,46.6806,113.2792,-17.59,78,0,5.86,MN,1675177698
190,vieux-habitants,16.0589,-61.7659,26.76,66,29,2.45,GP,1675177699
191,bud,39.447,-86.1758,-6.81,77,100,3.0,US,1675177699
192,fallon,39.4735,-118.7774,-11.07,92,0,2.06,US,1675177700
193,seoul,37.5683,126.9778,7.66,98,77,1.92,KR,1675177700
194,vila franca do campo,37.7167,-25.4333,15.23,65,97,4.99,PT,1675177701
195,provideniya,64.3833,-173.3,-6.43,97,100,0.53,RU,1675177701
196,alihe,50.5667,123.7167,-14.3,97,100,0.8,CN,1675177702
197,umea,63.8284,20.2597,-7.83,85,0,0.0,SE,1675177703
198,aripuana,-9.1667,-60.6333,21.19,97,100,1.44,BR,1675177592
199,the valley,18.217,-63.0578,26.92,72,77,8.59,AI,1675177704
200,barreirinhas,-2.7469,-42.8264,30.56,60,26,4.5,BR,1675177704
201,waipawa,-41.4122,175.5153,15.97,91,100,2.79,NZ,1675177705
202,lodja,-3.4833,23.4333,27.39,66,66,0.9,CD,1675177706
203,yuryevets,57.3201,43.1041,-2.48,89,100,6.97,RU,1675177706
204,uruguaiana,-29.7547,-57.0883,33.96,31,20,5.14,BR,1675177483
205,muros,42.7762,-9.0603,14.27,48,13,1.39,ES,1675177707
206,suntar,62.1444,117.6319,-30.33,100,98,0.77,RU,1675177708
207,sinnamary,5.3833,-52.95,26.16,77,21,2.47,GF,1675177709
208,coquimbo,-29.9533,-71.3436,20.85,68,75,2.57,CL,1675177710
